id	en	sv		
13593	Datura stramonium	Spikklubba		
13594	Health insurance	Sjukförsäkring		
13595	Shahada	Shahadah		
13596	Saint Vincent and the Grenadines	Saint_Vincent_och_Grenadinerna		
13597	Ryan Adams	Ryan_Adams		
13598	Rosanne Cash	Rosanne_Cash		
13599	Robots (film)	Robotar		
13600	Richard Ramirez	Richard_Ramirez		
13601	Recessive	Recessivt_anlag		
13602	Grimeton VLF transmitter	Radiostationen_i_Grimeton		
13603	Steak tartare	Råbiff		
13604	Oxycodone	Oxikodon		
13605	Oscillation	Oscillation		
13606	Operation Flashpoint: Cold War Crisis	Operation_Flashpoint		
13607	Oka River	Oka		
13608	1979 in music	Musikåret_1979		
13609	Modality	Modalitet		
13610	Mini Andén	Mini_Andén		
13611	Metro Station (band)	Metro_Station		
13612	Mercedes-Benz W123	Mercedes-Benz_W123		
13613	Standard of living	Levnadsstandard		
13614	Lars Gustafsson	Lars_Gustafsson		
13615	Kyle XY	Kyle_XY		
13616	Crown palaces in Sweden	Kungliga_slott_i_Sverige		
13617	Kraken	Kraken		
13618	Keith Moon	Keith_Moon		
13619	Business economics	Företagsekonomi		
13620	Casino	Kasino		
13621	Cable television	Kabel-TV		
13622	Josh Hartnett	Josh_Hartnett		
13623	John D. Rockefeller	John_D._Rockefeller		
13624	Joel Lundqvist	Joel_Lundqvist		
13625	Jason Acuña	Jason_Acuña		
13626	Jane Seymour	Jane_Seymour		
13627	James May	James_May		
13628	Jakobsberg	Jakobsberg		
13629	Interjection	Interjektion		
13630	Indiana Jones and the Kingdom of the Crystal Skull	Indiana_Jones_och_Kristalldödskallens_rike		
13631	IBS	IBS		
13632	Hyperlink	Hyperlänk		
13633	Gunnar Sträng	Gunnar_Sträng		
13634	Grimsta IP	Grimsta_IP		
13635	Good Charlotte	Good_Charlotte		
13636	Git Gay	Git_Gay		
13637	Vulture	Gamar		
13638	Stock dividend	Fondemission		
13639	Fjord horse	Fjordhäst		
13640	Feyenoord	Feyenoord		
13641	Shrove Tuesday	Fettisdagen		
13642	Limb (anatomy)	Extremitet		
13643	A Dream Play	Ett_drömspel		
13644	Empress Elisabeth of Austria	Elisabeth_av_Österrike-Ungern		
13645	Elisabeth Andreassen	Elisabeth_Andreassen		
13646	Dominic Howard	Dominic_Howard		
13647	The Big Blue	Det_stora_blå		
13648	Dennis Quaid	Dennis_Quaid		
13649	The Ugly Duckling	Den_fula_ankungen		
13650	The Three Musketeers in film	De_tre_musketörerna_(film)		
13651	Daniel Sedin	Daniel_Sedin		
13652	Chris Daughtry	Chris_Daughtry		
13653	Carlos Tévez	Carlos_Tévez		
13654	Abdominal obesity	Bukfetma		
13655	Brown	Brun		
13656	British Columbia	British_Columbia		
13657	Bratz	Bratz		
13658	Brainstorming	Brainstorming		
13659	Bo Larsson	Bo_Larsson_(fotbollsspelare)		
13660	Hoverfly	Blomflugor		
13661	The Chronicles of Narnia: Prince Caspian	Berättelsen_om_Narnia:_Prins_Caspian		
13662	Batman Forever	Batman_Forever		
13663	Band of Horses	Band_of_Horses		
13664	Indulgence	Avlat		
13665	Automatic Identification System	Automatic_Identification_System		
13666	Autoclave	Autoklav		
13667	Asterisk	Asterisk		
13668	Anton Nilson	Anton_Nilson		
13669	Amber Lynn	Amber_Lynn		
13670	Anton Nilson#Amalthea bombing	Amaltheadådet		
13671	Ahmed Rami (writer)	Ahmed_Rami		
13672	Adobe FrameMaker	Adobe_FrameMaker		
13673	9 millimeter	9_millimeter		
13674	11/01/06	6_november		
13675	Ægir	Ägir		
13676	Stinging nettle	Brännässla		
13677	Forging	Smide		
13678	Navvy	Rallare		
13679	Organic	Organisk		
13680	Newfoundland (dog)	Newfoundlandshund		
13681	Eureka	Heureka		
13682	Facility management	Facility_management		
13683	Asclepius	Asklepios		
13684	Danish (pastry)	Wienerbröd		
13685	Valletta	Valletta		
13686	Ministry for Foreign Affairs (Sweden)	Utrikesdepartementet		
13687	Printing	Tryckteknik		
13688	Trajan	Trajanus		
13689	The Rock (film)	The_Rock_(film)		
13690	The A-Team	The_A-Team		
13691	Thermite	Termit_(kemi)		
13692	Svenne Hedlund	Svenne_Hedlund		
13693	Sugarplum Fairy	Sugarplum_Fairy		
13694	Carcinus maenas	Strandkrabba		
13695	Skyways (airline)	Skyways		
13696	Order of the Phoenix (fiction)#Sirius Black	Sirius_Black		
13697	Codex Argenteus	Silverbibeln		
13698	Sascha Zacharias	Sascha_Zacharias		
13699	Sandwich	Sandwich		
13700	Ruben Rausing	Ruben_Rausing		
13701	Ron Paul	Ron_Paul		
13702	Rioja (wine)	Rioja		
13703	Line (geometry)	Rät_linje		
13704	Portuguese Water Dog	Portugisisk_vattenhund		
13705	Film	Film		
13706	Polyneuropathy	Polyneuropati		
13707	Piedmont	Piemonte		
13708	Pegasus (disambiguation)	Pegasus		
13709	Paula Abdul	Paula_Abdul		
13710	Trade wind	Passadvind		
13711	Parabola (disambiguation)	Parabel		
13712	AT4	Pansarskott_m/86		
13713	Opus Dei	Opus_Dei		
13714	Odenplan	Odenplan		
13715	Nordic Council	Nordiska_rådet		
13716	Network Time Protocol	Network_Time_Protocol		
13717	Nagasaki	Nagasaki		
13718	Grammatical mood	Modus		
13719	Maypole	Midsommarstång		
13720	Michelle Paver	Michelle_Paver		
13721	Bias	Metodfel		
13722	Mongoose	Manguster		
13723	Långholmen	Långholmen		
13724	Welsh language	Kymriska		
13725	Christian IV of Denmark	Kristian_IV_av_Danmark		
13726	Ivar Kreuger#Kreuger Crash	Kreugerkraschen		
13727	Kir (cocktail)	Kir		
13728	Karlaplan	Karlaplan		
13729	Caliphate	Kalifat		
13730	Jula	Jula		
13731	Jay Leno	Jay_Leno		
13732	Help! (album)	Help!		
13733	Haga	Haga		
13734	Hacker (term)	Hackare		
13735	HSwMS Gustav V	HMS_Gustav_V		
13736	HD DVD	HD_DVD		
13737	Gyroscope	Gyroskop		
13738	Gianna Michaels	Gianna_Michaels		
13739	Generation	Generation		
13740	Liquefied petroleum gas	Gasol		
13741	Whole grain	Fullkorn		
13742	Petrarch	Francesco_Petrarca		
13743	Football in London	Fotboll_i_London		
13744	Flogging Molly	Flogging_Molly		
13745	Flag days in Sweden	Flaggdagar_i_Sverige		
13746	Famagusta	Famagusta		
13747	Falun Gong	Falungong		
13748	Faculty (division)	Fakultet		
13749	National Defence Radio Establishment (Sweden)	Försvarets_radioanstalt		
13750	History of Ethiopia	Etiopiens_historia		
13751	Erik Edman	Erik_Edman		
13752	Eddie Izzard	Eddie_Izzard		
13753	Red lionfish	Drakfisk		
13754	Doric order	Dorisk_ordning		
13755	Deep sea fish	Djuphavsfiskar		
13756	Diogenes of Sinope	Diogenes		
13757	David Niven	David_Niven		
13758	Colt's Manufacturing Company	Colt		
13759	Carl Malmsten	Carl_Malmsten		
13760	Brittany (administrative region)	Bretagne		
13761	Bombardier Inc.	Bombardier		
13762	Epididymis	Bitestikel		
13763	BMW M	BMW_M		
13764	Auckland	Auckland		
13765	Annie Lennox	Annie_Lennox		
13766	Stock market index	Aktieindex		
13767	Aerodynamics	Aerodynamik		
13768	ACE inhibitor	ACE-hämmare		
13769	Commander-in-chief	Överbefälhavare		
13770	Gel electrophoresis	Gelelektrofores		
13771	ODBC	ODBC		
13772	Printed circuit board	Mönsterkort		
13773	Air pollution	Luftföroreningar		
13774	Infrasound	Infraljud		
13775	Ethnic cleansing	Etnisk_rensning		
13776	Equity-Linked Note	Aktieindexobligation		
13777	You'll Never Walk Alone	You'll_Never_Walk_Alone		
13778	Yes (band)	Yes_(musikgrupp)		
13779	Wannabe	Wannabe		
13780	Firearms license	Vapenlicens		
13781	Värsta språket	Värsta_språket		
13782	The Road to Jerusalem	Vägen_till_Jerusalem		
13783	Uriah Heep (band)	Uriah_Heep_(musikgrupp)		
13784	Drum	Trumma		
13785	Triangulation	Triangulering		
13786	Wireless network	Trådlöst_nätverk		
13787	Tibetan Spaniel	Tibetansk_spaniel		
13788	Theodor Kallifatides	Theodor_Kallifatides		
13789	Lands of Sweden	Sveriges_landsdelar		
13790	Supertramp	Supertramp		
13791	Stefan Roos	Stefan_Roos		
13792	Stefan Holm	Stefan_Holm		
13793	Smells Like Teen Spirit	Smells_Like_Teen_Spirit		
13794	San Quentin State Prison	San_Quentin		
13795	Särö	Särö		
13796	Robert Smith (musician)	Robert_Smith		
13797	Rigel	Rigel		
13798	Rent (musical)	Rent_(musikal)		
13799	Refraction	Refraktion		
13800	Quisling	Quisling		
13801	Post-rock	Postrock		
13802	Spain	Spanien		
13803	Pia Johansson	Pia_Johansson		
13804	Peach	Persika		
13805	Paleontology	Paleontologi		
13806	Oslo Metro	Oslos_tunnelbana		
13807	Oliver Loftéen	Oliver_Loftéen		
13808	Obelix	Obelix		
13809	Noel Gallagher	Noel_Gallagher		
13810	Nestor	Nestor		
13811	Navarre	Navarra		
13812	Natascha Kampusch	Natascha_Kampusch		
13813	Mohammed Hussein Al Amoudi	Mohammed_Al-Amoudi		
13814	Book of Micah	Mika		
13815	Mercedes-Benz E-Class	Mercedes-Benz_E-klass		
13816	Matilda (name)	Matilda		
13817	Maia Hirasawa	Maia_Hirasawa		
13818	Magnus Minniskiöld	Magnus_Minnisköld		
13819	Magnus Carlson	Magnus_Carlson		
13820	Macho (disambiguation)	Macho		
13821	Lypsyl	Lypsyl		
13822	Lost in Translation (film)	Lost_in_Translation		
13823	Ljubljana	Ljubljana		
13824	History of literature	Litteraturvetenskap		
13825	Latin grammar	Latinsk_grammatik		
13826	Length	Längd		
13827	Papal States	Kyrkostaten		
13828	Kurtwood Smith	Kurtwood_Smith		
13829	Kungsängen	Kungsängen		
13830	War on Terror	Kriget_mot_terrorismen		
13831	Short-term memory	Korttidsminne		
13832	Swedish Cooperative Union	Kooperativa_Förbundet		
13833	Musical keyboard	Klaviatur		
13834	King Arthur (film)	King_Arthur		
13835	Chinese astrology	Kinesisk_astrologi		
13836	Spider	Spindlar		
13837	Dialectology	Dialektologi		
13838	Charles V	Karl_V_(tysk-romersk_kejsare)		
13839	Kanton	Kanton		
13840	1906 San Francisco earthquake	Jordbävningen_i_San_Francisco_1906		
13841	Johannes Brahms	Johannes_Brahms		
13842	Johannes	Johannes		
13843	Joaquín (given name)	Joakim		
13844	Jacob Ericksson	Jacob_Ericksson		
13845	Jörgen Lantz	Jörgen_Lantz		
13846	Italian wine	Italienska_viner		
13847	Flag of Iceland	Islands_flagga		
13848	Isaac Hayes	Isaac_Hayes		
13849	Inger Edelfeldt	Inger_Edelfeldt		
13850	IMF (disambiguation)	IMF		
13851	Hyena	Hyenor		
13852	Hybrid (biology)	Hybrid_(biologi)		
13853	Hjo	Hjo		
13854	Brain death	Hjärndöd		
13855	Helt Apropå	Helt_apropå		
13856	Heather O'Rourke	Heather_O'Rourke		
13857	Han	Han		
13858	European Green Woodpecker	Gröngöling		
13859	Glucocorticoid	Glukokortikoider		
13860	Capra (genus)	Getter		
13861	Gask	Gasque		
13862	Gérard Depardieu	Gérard_Depardieu		
13863	Libertarian socialism	Frihetlig_socialism		
13864	Brown sugar	Farinsocker		
13865	Fanny (given name)	Fanny		
13866	Serial (literature)	Följetong		
13867	Euclidean geometry	Euklidisk_geometri		
13868	Esso	Esso		
13869	Embolism	Emboli		
13870	Equatorial Guinea	Ekvatorialguinea		
13871	Eir	Eir		
13872	Drömkåken	Drömkåken		
13873	Die Another Day	Die_Another_Day		
13874	Diacritic	Diakritiskt_tecken		
13875	The Third Man	Den_tredje_mannen		
13876	The Untouchables (film)	De_omutbara		
13877	Village	By		
13878	Diaper	Blöja		
13879	Big Mac Index	Big_Mac-index		
13880	Big Fish	Big_Fish		
13881	Ballast	Ballast		
13882	Laptop	Bärbar_dator		
13883	Atlas Copco	Atlas_Copco		
13884	Apocalyptica	Apocalyptica		
13885	Ante meridiem	Ante_meridiem		
13886	Amnesty	Amnesti		
13887	Akira	Akira		
13888	Age of Empires (video game)	Age_of_Empires		
13889	Agate	Agat		
13890	Abrasion (geology)	Abrasion		
13891	1910	1910		
13892	16:09:00	16:09:00		
13893	Örebro Castle	Örebro_slott		
13894	Vapor pressure	Ångtryck		
13895	Tom and Jerry	Tom_och_Jerry		
13896	Svartsjö Palace	Svartsjö_slott		
13897	Proprietary software	Proprietär_programvara		
13898	Outline of industrial organization	Produktion		
13899	Mayflower	Mayflower		
13900	Matriarchy	Matriarkat		
13901	Lorazepam	Lorazepam		
13902	HSwMS Drottning Victoria	HMS_Drottning_Victoria		
13903	Ethyl acetate	Etylacetat		
13904	After Dark (drag act)	After_Dark		
13905	10/01/14	14_oktober		
13906	Zelda	Zelda		
13907	Wikimedia Foundation	Wikimedia_Foundation		
13908	Vinyl record	Vinylskiva		
13909	Transit of Venus	Venuspassage		
13910	Venom (disambiguation)	Venom		
13911	Maamme	Vårt_land		
13912	1986 FIFA World Cup	Världsmästerskapet_i_fotboll_1986		
13913	Tuve landslide	Tuveraset		
13914	Tifo	Tifo		
13915	The Yardbirds	The_Yardbirds		
13916	The House of the Rising Sun	The_House_of_the_Rising_Sun		
13917	Calculus (dental)	Tandsten		
13918	Willow Tit	Talltita		
13919	Strike action	Strejk		
13920	Tension headache	Spänningshuvudvärk		
13921	Mucus	Slem		
13922	Skunk (disambiguation)	Skunk		
13923	Semantic memory	Semantiska_minnet		
13924	Secure Digital	Secure_Digital		
13925	Sean Bean	Sean_Bean		
13926	Screwdriver (cocktail)	Screwdriver		
13927	SCART	Scart		
13928	Sara Edwardsson	Sara_Edwardsson		
13929	Salah	Salah		
13930	Sahlgrenska University Hospital	Sahlgrenska_Universitetssjukhuset		
13931	Robert Redford	Robert_Redford		
13932	Realschule	Realskola		
13933	Rama	Rama		
13934	Political colour	Politisk_färg		
13935	Spiny dogfish	Pigghaj		
13936	Peter Tosh	Peter_Tosh		
13937	Parken Stadium	Parken		
13938	Parallel	Parallell		
13939	Ove Kindvall	Ove_Kindvall		
13940	Ottis Toole	Ottis_Toole		
13941	2012 Summer Olympics	Olympiska_sommarspelen_2012		
13942	Olof Lagercrantz	Olof_Lagercrantz		
13943	Oliver Stone	Oliver_Stone		
13944	Nicholas Sparks	Nicholas_Sparks		
13945	Monarch	Monark		
13946	Mercedes-Benz W210	Mercedes-Benz_W210		
13947	Memphis	Memphis		
13948	Martin Kellerman	Martin_Kellerman		
13949	Marie Göranzon	Marie_Göranzon		
13950	Master of ceremonies	MC_(hiphop)		
13951	List of national capitals in alphabetical order	Lista_över_huvudstäder		
13952	Legionella	Legionella		
13953	Legion	Legion		
13954	Lars Levi Læstadius	Lars_Levi_Læstadius		
13955	The Land Before Time	Landet_för_längesedan		
13956	La Rambla	La_Rambla		
13957	Kungsbacka Municipality	Kungsbacka_kommun		
13958	Kopparberg	Kopparberg		
13959	Bracket (architecture)	Konsol		
13960	Koh-i-Noor	Koh-i-noor		
13961	Caucasus	Kaukasien		
13962	Catherine of Aragon	Katarina_av_Aragonien		
13963	Karin Söder	Karin_Söder		
13964	Book of Isaiah	Jesaja		
13965	Jensen Ackles	Jensen_Ackles		
13966	Jenny Nyström	Jenny_Nyström		
13967	IB Diploma Programme	International_Baccalaureate_Diploma_Programme		
13968	Ad interim	Interim		
13969	Music of India	Indisk_musik		
13970	Jesus	INRI		
13971	IMO	IMO		
13972	List of domesticated animals	Husdjur		
13973	Hockey Hall of Fame	Hockey_Hall_of_Fame		
13974	Henry David Thoreau	Henry_David_Thoreau		
13975	Hagalund	Hagalund		
13976	Headphones	Hörlurar		
13977	Håkan Serner	Håkan_Serner		
13978	Guacamole	Guacamole		
13979	Graphical user interface	Grafiskt_användargränssnitt		
13980	Swedish Mauser	Gevär_m/96		
13981	Gert Wingårdh	Gert_Wingårdh		
13982	Gentrification	Gentrifiering		
13983	Franks	Franker		
13984	Fraktur (disambiguation)	Fraktur		
13985	Ferdinand Boberg	Ferdinand_Boberg		
13986	Pre-ejaculate	Försats		
13987	Erich Raeder	Erich_Raeder		
13988	Party of Five	Ensamma_hemma		
13989	Cruel Intentions	En_djävulsk_romans		
13990	Ella Fitzgerald	Ella_Fitzgerald		
13991	Digimon	Digimon		
13992	Deutschlandlied	Deutschlandlied		
13993	Deng Xiaoping	Deng_Xiaoping		
13994	Three wise monkeys	De_tre_aporna		
13995	Demilitarized zone (computing)	DMZ_(Internet)		
13996	Claudio Monteverdi	Claudio_Monteverdi		
13997	Cistercians	Cisterciensorden		
13998	Caligula (film)	Caligula_(film)		
13999	Buran (spacecraft)	Buran		
14000	Brooklyn Bridge	Brooklyn_Bridge		
14001	Breaking Bad	Breaking_Bad		
14002	Bourgeoisie	Bourgeoisie		
14003	Bog (disambiguation)	Bog		
14004	Barbie	Barbiedocka		
14005	Armageddon (disambiguation)	Armageddon		
14006	Appanage	Apanage		
14007	American Pie 2	American_Pie_2		
14008	Aluminium oxide	Aluminiumoxid		
14009	Alaska pollock	Alaska_pollock		
14010	European Agreement concerning the International Carriage of Dangerous Goods by Road	ADR		
14011	2011	2011		
14012	Southern Gothenburg Archipelago	Göteborgs_skärgård		
14013	Plant nutrition	Växtnäring		
14014	Spaghetti	Spaghetti		
14015	Post- och Inrikes Tidningar	Post-_och_Inrikes_Tidningar		
14016	Mass Effect (video game)	Mass_Effect		
14017	Liliaceae	Liljeväxter		
14018	Cavitation	Kavitation		
14019	Gaston (comics)	Gaston		
14020	Dioptre	Dioptri		
14021	Bank account	Bankkonto		
14022	Australian rules football	Australisk_fotboll		
14023	Alms	Allmosa		
14024	Wasp (disambiguation)	Wasp		
14025	Wanted (2008 film)	Wanted		
14026	Wedding ring	Vigselring		
14027	Waterfall model	Vattenfallsmodellen		
14028	Revelation	Uppenbarelse		
14029	Youth	Ungdom		
14030	Ulf Ekberg	Ulf_Ekberg		
14031	The Real Group	The_Real_Group		
14032	Thai language	Thai		
14033	Teagan Presley	Teagan_Presley		
14034	The Black Cauldron (film)	Taran_och_den_magiska_kitteln		
14035	TGV	TGV		
14036	sill plate	Syll		
14037	Swing music	Swing		
14038	Student overall	Studentoverall		
14039	Stina Ekblad	Stina_Ekblad		
14040	Sterling silver	Sterlingsilver		
14041	Soho	Soho		
14042	Slash (punctuation)	Snedstreck		
14043	Battle of Tali-Ihantala	Slaget_vid_Tali-Ihantala		
14044	Slacker	Slacker		
14045	Skagen	Skagen		
14046	Mount Sinai	Sinai_berg		
14047	Shannen Doherty	Shannen_Doherty		
14048	Set	Set		
14049	Scotch (band)	Scotch		
14050	The Lord of the Rings: The Two Towers	Sagan_om_de_två_tornen_(film)		
14051	Robert Ludlum	Robert_Ludlum		
14052	Iritis	Regnbågshinneinflammation		
14053	Ralph Erskine (architect)	Ralph_Erskine		
14054	Rövarspråket	Rövarspråket		
14055	Red wine	Rött_vin		
14056	Portal (architecture)	Portal		
14057	Porsche Panamera	Porsche_Panamera		
14058	Brachial plexus	Plexus_brachialis		
14059	Copyright infringement	Piratkopiering		
14060	Petra (disambiguation)	Petra		
14061	Peter Sunde	Peter_Sunde		
14062	Paroxetine	Paroxetin		
14063	OS	Os		
14064	Opposition	Opposition		
14065	Nora Roberts	Nora_Roberts		
14066	Musical ensemble	Musikgrupp		
14067	Motor skill	Motorik		
14068	Surplus value	Mervärde		
14069	Mattias Andréasson	Mattias_Andréasson		
14070	Martin Rolinski	Martin_Rolinski		
14071	MS	MS		
14072	M1 Abrams	M1_Abrams		
14073	Liza Minnelli	Liza_Minnelli		
14074	List of number-one singles (Sweden)	Lista_över_singelettor_på_Sverigetopplistan		
14075	Glossary of musical terminology	Lista_över_musiktermer		
14076	The Little Ghost Godfrey	Lilla_spöket_Laban		
14077	Rigor mortis	Likstelhet		
14078	Litmus	Lackmuspapper		
14079	Ky-Mani Marley	Ky-Mani_Marley		
14080	Kola Peninsula	Kolahalvön		
14081	Clan	Klan		
14082	Kim Jong-il	Kim_Jong_Il		
14083	Katyn massacre	Katynmassakern		
14084	Katharine Hepburn	Katharine_Hepburn		
14085	Kasper Schmeichel	Kasper_Schmeichel		
14086	Car body style	Kaross		
14087	Nuclear family	Kärnfamilj		
14088	John Cena	John_Cena		
14089	Jeremy Irons	Jeremy_Irons		
14090	Jan Lindblad	Jan_Lindblad		
14091	Jamie Oliver	Jamie_Oliver		
14092	Jamie Lynn Spears	Jamie_Lynn_Spears		
14093	Jaime Pressly	Jaime_Pressly		
14094	Jönssonligan får guldfeber	Jönssonligan_får_guldfeber		
14095	Ingarö	Ingarö		
14096	Industrial music	Industrial		
14097	Hyde Park	Hyde_Park		
14098	Hugo Boss	Hugo_Boss		
14099	Coat of arms	Heraldiskt_vapen		
14100	Macula of retina	Gula_fläcken		
14101	Grey Heron	Gråhäger		
14102	Gene Kelly	Gene_Kelly		
14103	Gant U.S.A.	Gant		
14104	The Stranger (novel)	Främlingen		
14105	Phlogiston theory	Flogiston		
14106	Finance	Finans		
14107	Faith No More	Faith_No_More		
14108	Engaged column	Engagerad_kolonn		
14109	Ekerö Municipality	Ekerö_kommun		
14110	Dunderklumpen!	Dunderklumpen!		
14111	Dream interpretation	Drömtydning		
14112	Dookie	Dookie		
14113	Don	Don		
14114	Documentary film	Dokumentärfilm		
14115	Death Cab for Cutie	Death_Cab_for_Cutie		
14116	De Geer	De_Geer		
14117	Flag of Denmark	Dannebrogen		
14118	Converse (shoe company)	Converse		
14119	The Cider House Rules (film)	Ciderhusreglerna_(film)		
14120	Chardonnay	Chardonnay		
14121	Châteauneuf-du-Pape	Châteauneuf-du-Pape		
14122	Byte (disambiguation)	Byte		
14123	Construction permit	Bygglov		
14124	Brandsta City Släckers	Brandsta_City_Släckers		
14125	Bouzouki	Bouzouki		
14126	Bonnier	Bonnier		
14127	Tactile alphabet	Blindskrift		
14128	Blockula	Blåkulla		
14129	Adverse effect	Biverkning		
14130	The Rescuers	Bernard_och_Bianca		
14131	Benny Hill	Benny_Hill		
14132	Bengt Frithiofsson	Bengt_Frithiofsson		
14133	Bengali language	Bengali		
14134	Baldachin	Baldakin		
14135	Bagarmossen	Bagarmossen		
14136	Another Cinderella Story	Another_Cinderella_Story		
14137	Ankie Bagger	Ankie_Bagger		
14138	Ambulance	Ambulans		
14139	Alsace	Alsace		
14140	Alive (1993 film)	Alive_(film)		
14141	Ale Municipality	Ale_kommun		
14142	Aldi	Aldi		
14143	Agitator	Agitation		
14144	Adelaide	Adelaide		
14145	1931	1931		
14146	Özz Nûjen	Özz_Nûjen		
14147	Volvo PV800 Series	Volvo_PV800		
14148	Sans-serif	Sans-serif		
14149	PPP	PPP		
14150	French invasion of Russia	Napoleons_ryska_fälttåg		
14151	Medical diagnosis	Medicinsk_diagnostik		
14152	Conseil	Konselj		
14153	Mental confusion	Konfusion		
14154	Tularemia	Harpest		
14155	Fourth Reich	Fjärde_riket		
14156	Final Solution	Den_slutgiltiga_lösningen		
14157	Christer Björkman	Christer_Björkman		
14158	Border Gateway Protocol	Border_Gateway_Protocol		
14159	Athina Onassis Roussel	Athina_Onassis		
14160	Rastafari movement#Zion vs. Babylon	Zion		
14161	York	York		
14162	Windows 2000	Windows_2000		
14163	Wembley (disambiguation)	Wembley		
14164	Víðarr	Vidar		
14165	Threshold of originality	Verkshöjd		
14166	Ultima Thule (disambiguation)	Ultima_Thule		
14167	Ulf Stark	Ulf_Stark		
14168	Tomas Holmström	Tomas_Holmström		
14169	Tom DeLonge	Tom_DeLonge		
14170	Tierp	Tierp		
14171	Steven Adler	Steven_Adler		
14172	Star Wars: The Clone Wars (2008 TV series)	Star_Wars:_The_Clone_Wars_(TV-serie)		
14173	Trams in Stockholm	Spårvagnstrafik_i_Stockholm		
14174	Solaris (operating system)	Solaris_(operativsystem)		
14175	Skövde Municipality	Skövde_kommun		
14176	Serbian language	Serbiska		
14177	Schleswig-Holstein	Schleswig-Holstein		
14178	Same	Same		
14179	Rubidium	Rubidium		
14180	Redwood National and State Parks	Redwood_National_Park		
14181	Projection	Projektion		
14182	Epicyclic gearing	Planetväxel		
14183	Pedestal	Piedestal		
14184	Pernille Holmboe	Pernille_Holmboe		
14185	Olympia (Helsingborg)	Olympia_(arena)		
14186	Ola Håkansson	Ola_Håkansson		
14187	No Doubt	No_Doubt		
14188	Niue	Niue		
14189	Nils Landgren (musician)	Nils_Landgren		
14190	Subsequent Nuremberg Trials	Nürnbergrättegångarna		
14191	Flight 19	Mysteriet_med_19:e_gruppen		
14192	Monty Hall problem	Monty_Hall-problemet		
14193	Miffo	Miffo		
14194	Michael Poulsen	Michael_Poulsen		
14195	Michael Clarke Duncan	Michael_Clarke_Duncan		
14196	Marmite	Marmite		
14197	M4 Sherman	M4_Sherman		
14198	Luís Figo	Luís_Figo		
14199	Espionage	Lista_över_kända_spioner		
14200	Lindex	Lindex		
14201	Premature burial	Levande_begravning		
14202	Lateral thinking	Lateralt_tänkande		
14203	Maple syrup	Lönnsirap		
14204	Bowler hat	Kubb_(hatt)		
14205	Enforcement Authority (Sweden)	Kronofogdemyndigheten		
14206	Contemplation	Kontemplation		
14207	Ken Jenkins	Ken_Jenkins		
14208	Electronics	Elektronik		
14209	John McEnroe	John_McEnroe		
14210	Maltese cross	Johannitkors		
14211	Jack Ruby	Jack_Ruby		
14212	Jörgen Kruth	Jörgen_Kruth		
14213	Isabel	Isabella		
14214	Indochina	Indokina		
14215	Hamilton	Hamilton		
14216	Gorgonzola (cheese)	Gorgonzola		
14217	Google Maps	Google_Maps		
14218	GPU (disambiguation)	GPU		
14219	Göteborgs Rapé	Göteborgs_Rapé		
14220	Frank Rijkaard	Frank_Rijkaard		
14221	Finite verb	Finit_verb		
14222	Embezzlement	Förskingring		
14223	Evangelical Free Church in Sweden	Evangeliska_Frikyrkan		
14224	Vitreous enamel	Emalj		
14225	The Elephant Man (disambiguation)	Elefantmannen		
14226	Leontopodium alpinum	Edelweiss		
14227	Ebola virus disease	Ebolafeber		
14228	Donald Sutherland	Donald_Sutherland		
14229	Design	Design		
14230	Danny DeVito	Danny_DeVito		
14231	Carina Lidbom	Carina_Lidbom		
14232	Californication	Californication		
14233	CSKA Moscow	CSKA_Moskva		
14234	Bordeaux wine	Bordeauxviner		
14235	Boerboel	Boerboel		
14236	Lead–acid battery	Blyackumulator		
14237	Bengt af Klintberg	Bengt_af_Klintberg		
14238	Osteichthyes	Benfiskar		
14239	Athletic Bilbao	Athletic_Bilbao		
14240	Inheritance Cycle	Arvtagaren		
14241	Archaic Greece	Arkaisk_tid		
14242	And	And		
14243	Ajvar	Ajvar		
14244	Protests of 1968	68-vänstern		
14245	28 Days Later	28_dagar_senare		
14246	Advanced Configuration and Power Interface	Advanced_Configuration_and_Power_Interface		
14247	Flag of Spain	Spaniens_flagga		
14248	Rich Text Format	Rich_Text_Format		
14249	Mackenzie Rosman	Mackenzie_Rosman		
14250	Envelope	Kuvert		
14251	Krakatoa	Krakatau		
14252	Joseph Conrad	Joseph_Conrad		
14253	Girls Aloud	Girls_Aloud		
14254	Gap analysis	Gapanalys		
14255	EBITA	EBITA		
14256	Duke Nukem Forever	Duke_Nukem_Forever		
14257	Yves Saint Laurent (designer)	Yves_Saint-Laurent		
14258	Japanese battleship Yamato	Yamato_(fartyg)		
14259	Windows Mobile	Windows_Mobile		
14260	Bald Eagle	Vithövdad_havsörn		
14261	Vapen & ammunition	Vapen_&_ammunition		
14262	Betula pendula	Vårtbjörk		
14263	Old-growth forest	Urskog		
14264	Downfall (film)	Undergången		
14265	Gemini (constellation)	Tvillingarna_(stjärnbild)		
14266	Toyota Prius	Toyota_Prius		
14267	Tangent	Tangent_(matematik)		
14268	March across the Belts	Tåget_över_Bält		
14269	Soapstone	Täljsten		
14270	Web syndication	Syndikering		
14271	Sunne	Sunne		
14272	Stanley Cup	Stanley_Cup		
14273	Battle of Okinawa	Slaget_om_Okinawa		
14274	Skagerrak	Skagerrak		
14275	Siljan (lake)	Siljan		
